section,clause_number,clause_text,requirement_type
Labelling of pressure equipment and assemblies ,13.2,"Where it is not possible for information specified in paragraph (1)(a) and (b) to be indicated on the pressure equipment or assembly, the manufacturer must ensure that the information is indicated on its packaging or in a document accompanying the pressure equipment or assembly",must
Labelling of pressure equipment and assemblies ,13.3,"The details set out in paragraph (1)(b) must be in a language which can be easily understood by consumers, other users and market surveillance authorities in the member State in which it is to be made available to such users",must
Instructions and safety information ,14.1,"When placing pressure equipment or an assembly referred to in regulation 6 or 7 on the market, a manufacturer must ensure that it is accompanied by instructions and safety information in a language which can be easily understood by consumers and other users",must
Instructions and safety information ,14.2,The instructions and safety information referred to in paragraph (1) must include the information listed in paragraphs 29 and 30 of Schedule 2,must
Instructions and safety information ,14.3,"When placing pressure equipment or an assembly covered by regulation 8 on the market, a manufacturer must ensure that it is accompanied by adequate instructions for use in a language which can be easily understood by consumers and other users",must
Instructions and safety information ,14.4,and (3) must be English,must
Instructions and safety information ,14.5,"Instructions and safety information must be clear, understandable and intelligible",must
Compliance procedures for series production ,15.1,A manufacturer of pressure equipment or assemblies which are manufactured by series production must ensure that procedures are in place to ensure that any pressure equipment or assemblies so manufactured will be in conformity with Part 2,must
Compliance procedures for series production ,15.2,"In doing so, the manufacturer must take adequate account of— (a) any change in pressure equipment or assembly design or characteristics; and (b) any change in a harmonised standard or in another technical specification by reference to which the EU declaration of conformity was drawn up",must
Monitoring  ,16.1,"When appropriate, with regard to the risks to the health and safety of consumers and other users presented by pressure equipment or assemblies, the manufacturer must— (a) carry out sample testing of pressure equipment or assemblies made available on the market; (b) investigate complaints that pressure equipment or assemblies are not in conformity with Part 2; (c) keep a register of— (i) complaints that pressure equipment or assemblies are not in conformity with Part 2; (ii) pressure equipment or assemblies which are found not to be in conformity with Part 2; and (iii) pressure equipment or assemblies recalls; and (d) keep distributors informed of any monitoring carried out under this regulation",must
Monitoring  ,16.2,The manufacturer must keep an entry made in the register for a period of at least 10 years beginning on the day on which the obligation to make the entry arose,must
Duty to take action in respect of pressure equipment or assemblies placed on the market  which are considered not to be in conformity ,17.1,"A manufacturer who considers, or has reason to believe, that pressure equipment or an assembly which that manufacturer has placed on the market is not in conformity with Part 2 must immediately take the corrective measures necessary to— (a) bring the pressure equipment or assembly into conformity; (b) withdraw the pressure equipment or assembly; or (c) recall the pressure equipment or assembly",must
Duty to take action in respect of pressure equipment or assemblies placed on the market  which are considered not to be in conformity ,17.2,"Where pressure equipment or an assembly presents a risk, the manufacturer must immediately inform the market surveillance authority, and the competent national authorities of any other  member State in which the manufacturer made the pressure equipment or assembly available on the market, of the risk, giving details of— (a) the respect in which the pressure equipment or assembly is considered not to be in conformity with Part 2; and (b) any corrective measures taken",must
Provision of information and cooperation ,18.1,"Further to a request from an enforcing authority, and within such period as the authority may specify, a manufacturer must provide the authority with all the information and documentation necessary to demonstrate that pressure equipment or an assembly is in conformity with Part 2",must
Provision of information and cooperation ,18.2,A request referred to in paragraph (1)— (a) may only be made during the period of 10 years beginning on the day the pressure equipment or assembly was placed on the market; and (b) must be accompanied by the reasons for making the request,must
Provision of information and cooperation ,18.3,The information and documentation referred to in paragraph (1)— (a) may be provided electronically; and (b) must be in a language which can be easily understood by the enforcing authority,must
Provision of information and cooperation ,18.4,"A manufacturer must, at the request of the enforcing authority, cooperate with that authority on any action taken to— (a) evaluate pressure equipment or an assembly in accordance with regulation  70 (evaluation of pressure equipment or assemblies presenting a risk); or (b) eliminate the risks posed by pressure equipment or an assembly which the manufacturer has placed on the market",must
Manufacturer’s authorised representatives ,19.2,The mandate must allow the authorised representative to do at least the following in relation to pressure equipment or assemblies covered by the mandate— (a) perform the manufacturer’s obligations under regulation 12 (duty to keep technical documentation and EU declaration of conformity); and (b) perform the manufacturer’s obligations under regulation 18 (provision of information and cooperation),must
Manufacturer’s authorised representatives ,19.3,The obligations laid down in regulation 9 (design and manufacture in accordance with the essential safety requirements) and regulation 10(1)(b) (technical documentation and conformity assessment) must not form part of an authorised representative’s mandate,must
Manufacturer’s authorised representatives ,19.4,"An authorised representative must comply with all the duties imposed on the manufacturer in relation to each obligation under these Regulations that the representative is appointed by the manufacturer to perform and, accordingly as far as those duties, as well as the penalties for failure to comply with those duties, are concerned, references in these Regulations (except in this regulation) to the manufacturer are to be taken as including a reference to the authorised representative",must
Prohibition on placing on the market pressure equipment or assemblies which are not in  conformity ,20, An importer must not place pressure equipment or an assembly on the market unless it is in conformity with Part 2.  11Requirements which must be satisfied before an importer places pressure equipment or assemblies on the market  ,must
Requirements which must be satisfied before an importer places pressure equipment or  assemblies on the market ,21.1,"Before placing pressure equipment or an assembly referred to in regulation 6 or 7 on the market, an importer must ensure that— (a) the relevant conformity assessment procedure has been carried out; (b) the manufacturer has drawn up the technical documentation; (c) the pressure equipment or assembly— (i) bears the CE marking; and (ii) is accompanied by the required documents; and (d) the manufacturer has complied with the requirements of regulation 13 (labelling)",must
Requirements which must be satisfied before an importer places pressure equipment or  assemblies on the market ,21.3,"Before placing pressure equipment or an assembly referred to in regulation 8 on the market, an importer must ensure that— (a) the manufacturer has drawn up the technical documentation; (b) the pressure equipment or assembly is accompanied by adequate instructions for use and any required documents; and (c) the manufacturer has complied with the requirements of regulation 13 (labelling)",must
Prohibition on placing on the market pressure equipment or assemblies considered not to be  in conformity with the essential safety requirements ,22.1,"Where an importer considers, or has reason to believe, that pressure equipment or an assembly referred to in Regulation 6 or 7 is not in conformity with the essential safety requirements, the importer must not place the pressure equipment or assembly on the market",must
Prohibition on placing on the market pressure equipment or assemblies considered not to be  in conformity with the essential safety requirements ,22.2,"Where pressure equipment or an assembly presents a risk, the importer must inform the manufacturer and the market surveillance authority of that risk",must
Information identifying importer ,23.1,"Before placing pressure equipment or an assembly on the market, an importer must indicate on the pressure equipment or assembly— (a) the name, registered trade name or registered trade mark of the importer; and (b) a postal address at which the importer can be contacted",must
Information identifying importer ,23.2,The information specified in paragraph (1) must be in a language which can be easily understood by consumers and other users and the market surveillance authority in the member State in which it is to be made available to such users,must
Information identifying importer ,23.3,"Where it is not possible to indicate the information specified in paragraph (1) on pressure equipment, the importer must indicate that information— (a) on the packaging; or (b) in a document accompanying the pressure equipment or assembly",must
Instructions and safety information ,24.1,"When placing pressure equipment or an assembly referred to in regulation 6 or 7 on the market, an importer must ensure that it is accompanied by instructions and safety information in a language which can be easily understood by consumers and other users",must
Instructions and safety information ,24.2,The instructions and safety information referred to in paragraph (1) must include the information listed in paragraphs 29 and 30 of Schedule 2,must
Instructions and safety information ,24.3,"When placing pressure equipment or an assembly covered by regulation 8 on the market, an importer must ensure that it is accompanied by instructions and safety information in a language which can be easily understood by consumers and other users",must
Instructions and safety information ,24.4,"Where the pressure equipment or assembly is placed on the market in the United Kingdom, the language referred to in paragraphs (1) and (3) must be English",must
Storage and transport ,25," Where an importer has responsibility for pressure equipment or an assembly referred to in Regulation 6 or 7, the importer must ensure that the conditions under which the pressure equipment or assembly is stored or transported do not jeopardise its conformity with the essential safety requirements. Monitoring  ",must
Monitoring ,26.1,"Where appropriate, having regard to the risks to the health and safety of consumers and other users presented by the pressure equipment or assemblies, the importer must— (a) carry out sample testing of pressure equipment and assemblies made available on the market by the importer; (b) investigate complaints of pressure equipment and assemblies made available on the market by the importer which are not in conformity with Part 2; (c) keep a register of— (i) complaints that pressure equipment or assemblies are not in conformity with Part 2; (ii) pressure equipment or assemblies which are found not to be in conformity with Part 2; and (iii) pressure equipment or assemblies recalls; and (d) keep distributors informed of any monitoring carried out under this regulation",must
Monitoring ,26.2,The importer must keep an entry made in the register for a period of at least 10 years beginning on the day on which the obligation to make the entry arose,must
Duty to take action in respect of pressure equipment or assemblies placed on the market  considered not to be in conformity ,27.1,"An importer who considers, or has reason to believe, that pressure equipment or an assembly which that importer has placed on the market is not in conformity with Part 2 must immediately take the corrective measures necessary to— (a) bring that pressure equipment or assembly into conformity; (b) withdraw the pressure equipment or assembly; or (c) recall the pressure equipment or assembly",must
Duty to take action in respect of pressure equipment or assemblies placed on the market  considered not to be in conformity ,27.2,"Where the pressure equipment  or assembly presents a risk, the importer must immediately inform the market surveillance authority and the competent national authorities of any other member State in which the importer made the pressure equipment or assembly available on the market of the risk, giving details of— (a) the respect in which the pressure equipment or assembly is considered not to be in conformity with Part 2; and  13(b) any corrective measures taken",must
Retention of technical documentation and EU declaration of conformity ,28," An importer must, for a period of 10 years beginning on the day on which pressure equipment or an assembly is placed on the market, keep and, upon request, make available to an enforcing authority the following in relation to the pressure equipment or assembly— (a) a copy of the EU declaration of conformity; and (b) the technical documentation. Provision of information and cooperation  ",must
Provision of information and cooperation ,29.1,"Following a request from an enforcing authority, and within such period as the authority may specify, an importer must provide the authority with all the information and documentation necessary to demonstrate that pressure equipment or an assembly is in conformity with Part 2",must
Provision of information and cooperation ,29.2,A request referred to in paragraph (1)— (a) may only be made during the period of 10 years beginning on the day the importer places the pressure equipment or assembly on the market; and (b) must be accompanied by the reasons for making the request,must
Provision of information and cooperation ,29.3,The information and documentation referred to in paragraph (1)— (a) may be provided electronically; and (b) must be in a language which can be easily understood by the enforcing authority,must
Provision of information and cooperation ,29.4,"An importer must, at the request of the enforcing authority, cooperate with that authority on any action taken to— (a) evaluate pressure equipment or assemblies in accordance with regulation  70 (evaluation of pressure equipment or assemblies presenting a risk); or (b) eliminate the risks posed by pressure equipment or assemblies which the importer has placed on the market",must
Duty to act with due care ,30," When making pressure equipment or an assembly available on the market, a distributor must act with due care to ensure that it is in conformity with Part 2. Requirements which must be satisfied before a distributor makes pressure equipment or assemblies available on the market)  ",must
Requirements which must be satisfied before a distributor makes pressure equipment or  assemblies available on the market) ,31.1,"Before making pressure equipment or an assembly referred to in regulation 6 or 7 available on the market, the distributor must verify that— (a) the pressure equipment or assembly— (i) bears the CE marking; (ii) is accompanied by the required documents; (iii) the instructions and safety information are in a language which can be easily understood by consumers and other users in the member State in which the pressure equipment or assembly is to be made available on the market; (b) the manufacturer has complied with the requirements of regulation 13 (labelling of pressure equipment and assemblies); and (c) the importer has complied with the requirements of regulation 23 (information identifying importer)",must
Requirements which must be satisfied before a distributor makes pressure equipment or  assemblies available on the market) ,31.3,"Where the pressure equipment or assembly is made available on the market in the United Kingdom, the language referred to in paragraph (1)(a)(iii) must be English",must
Storage and transport ,32," Where a distributor has responsibility for pressure equipment or an assembly referred to in Regulation 6 or 7, the distributor must ensure that the conditions under which the pressure equipment or assembly is stored or transported do not jeopardise its conformity with the essential safety requirements. Prohibition on making available on the market where pressure equipment or assemblies are not considered to be in conformity with essential safety requirements  ",must
Prohibition on making available on the market where pressure equipment or assemblies are  not considered to be in conformity with essential safety requirements ,33.1,"Where a distributor considers, or has reason to believe, that pressure equipment or an assembly referred to in Regulation 6 or 7 is not in conformity with the essential safety requirements, the distributor must not make the pressure equipment or assembly available on the market until it has been brought into conformity",must
Prohibition on making available on the market where pressure equipment or assemblies are  not considered to be in conformity with essential safety requirements ,33.2,"Where the pressure equipment or assembly presents a risk, the distributor must inform the following persons of the risk— (a) the manufacturer or the importer; and (b) the market surveillance authority",must
Duty to take action in respect of pressure equipment made available on the market which  are not in conformity ,34.1,"A distributor who considers, or has reason to believe, that pressure equipment or assemblies which the distributor has made available on the market is not in conformity with Part 2 must make sure that the necessary corrective measures are taken to— (a) bring that pressure equipment or assembly into conformity; (b) withdraw the pressure equipment or assembly; or (c) recall the pressure equipment or assembly",must
Duty to take action in respect of pressure equipment made available on the market which  are not in conformity ,34.2,"Where the pressure equipment or assembly presents a risk, the distributor must immediately inform the market surveillance authority, and the competent national authorities of the member States in which the distributor has made the pressure equipment or assembly available on the market, of that risk, giving details of— (a) the respect in which pressure equipment is considered not to be in conformity with Part 2; and (b) any corrective measures taken",must
Provision of information and cooperation ,35.1,"Following a request from an enforcing authority, and within such period as the authority may specify, a distributor must provide the authority with all the information and documentation necessary to demonstrate that pressure equipment or an assembly is in conformity with Part 2",must
Provision of information and cooperation ,35.2,The information referred to in paragraph (1)—  15(a) may be provided electronically; and (b) must be in a language which can be easily understood by the enforcing authority,must
Provision of information and cooperation ,35.3,"A distributor must, at the request of the enforcing authority, cooperate with that authority on any action taken to— (a) evaluate pressure equipment in accordance with regulation 70 (evaluation of pressure equipment or assemblies presenting a risk); or (b) eliminate the risks posed by pressure equipment or assemblies which the distributor has made available on the market",must
Translation of EU declaration of conformity ,37.1,"Before making pressure equipment or an assembly available on the market, an economic operator must ensure that the EU declaration of conformity is prepared in, or translated into, the language required by the member State in which it is to be made available on the market",must
Identification of economic operators ,38.1,"An economic operator (“E”) who receives a request in relation to pressure equipment or an assembly from the market surveillance authority before the end of the relevant period must, within such period as that authority may specify, identify to the authority— (a) any other economic operator who has supplied E with the pressure equipment or assembly; and (b) any other economic operator to whom E has supplied the pressure equipment or assembly",must
Prohibition on improper use of CE marking ,39.1,An economic operator must not affix the CE marking to pressure equipment or an assembly unless— (a) that economic operator is the manufacturer of the pressure equipment or assembly; and (b) the conformity of the pressure equipment or assembly with the essential safety requirements has been demonstrated by a relevant conformity assessment procedure,must
Prohibition on improper use of CE marking ,39.2,"An economic operator must not affix the CE marking to pressure equipment or an assembly where—  16(a) the conformity assessment procedure followed in accordance with regulation 41 is either module A2, C2, F or G; and (b) the conformity assessment procedure has been carried out by a user inspectorate",must
Prohibition on improper use of CE marking ,39.3,An economic operator must not affix to pressure equipment or an assembly a marking which— (a) is not the CE marking; but (b) purports to attest that the pressure equipment or assembly is in conformity with the essential safety requirements,must
Prohibition on improper use of CE marking ,39.4,"An economic operator must not affix to pressure equipment or an assembly a marking, sign or inscription which is likely to mislead any other person as to the meaning or form of the CE marking",must
Prohibition on improper use of CE marking ,39.5,"An economic operator must not affix to pressure equipment or an assembly any other marking if the visibility, legibility and meaning of the CE marking would be impaired as a result",must
Conformity assessment procedures ,41," For the assessment of conformity of pressure equipment falling within regulation 6, the manufacturer must determine the applicable category in accordance with the procedure set out in Schedule 3.  ",must
Schedule 3. ,42.1,"The manufacturer must follow one of the following conformity assessment procedures referred to in Annex III to the Directive (as amended from time to time) according to the category in which the equipment is classified— (a) Category I: Module A; (b) Category II: Module A2; or, at the choice of the manufacturer, Module D1; or Module E1; (c) Category III: Modules B (design type) + D; or, at the choice of the manufacturer, Modules B (design type) + F; or Modules B (production type) + E; or Modules B (production type) + C2; or Module H; (d) Category IV:  Modules B (production type) + D; or, at the choice of the manufacturer, Modules B (production type) + F; or Module G; or Module H1",must
No Section Title,43.1,"The notified body or user inspectorate must, when performing unexpected visits in the framework of quality assurance procedures for pressure equipment in categories III and IV in regulation 6(a)(i), 6(a)(ii)(aa) or 6(b), take a sample of equipment from the manufacturing or  17storage premises in order to perform, or have performed, the final assessment as referred to in paragraph 25 of Schedule 2",must
No Section Title,43.2,The manufacturer must inform the notified body or user inspectorate of the intended schedule of production,must
No Section Title,43.3,The notified body or user inspectorate must carry out at least two visits during the first year of manufacturing,must
No Section Title,43.4,The notified body or user inspectorate must determine the frequency of subsequent visits on the basis of the criteria set out in point 4,must
Annex III to the Directive (as amended from time to time).  ,44," In the case of one-off production of vessels and pressure equipment in category III referred to in regulation 6(b) under the module H procedure, the notified body or user inspectorate must perform or have performed the final assessment, as referred to in paragraph 25 of Schedule 2, for each unit.  ",must
No Section Title,45," For the assessment of conformity of assemblies referred to in regulation 7, the manufacturer must apply a global conformity assessment procedure comprising— (a) the assessment (the procedure for which is to be determined by the category of each item) of each item of pressure equipment making up the assembly and referred to in regulation 6 which has not been previously subjected to a conformity assessment procedure and to a separate CE marking; (b) the assessment of the integration of the components of the assembly as referred to in paragraphs 7, 12 and 13 of Schedule 2 which must be determined by the highest category applicable to the equipment concerned other than that applicable to any safety accessories; and (c) the assessment of the protection of an assembly against exceeding the permissible operating limits as referred to in paragraph 14 and 28 of Schedule 2 which must be conducted against the highest category applicable to individual items of equipment included in the assembly.  ",must
No Section Title,47," The records and correspondence relating to conformity assessment must be in an official language of the Member State where the body responsible for carrying out such conformity assessment procedures is established, or in a language accepted by that body. EU declaration of conformity  ",must
EU declaration of conformity ,48, The EU declaration of conformity in respect of pressure equipment or an assembly must— (a) state that the fulfilment of the essential safety requirements has been demonstrated in respect of pressure equipment; (b) contain the elements specified in Annex III to the Directive (as amended from time to time) for the relevant conformity assessment procedure followed in respect of the pressure equipment or assembly; and  (c) have the model structure set out in Schedule 11. CE marking  ,must
CE marking ,49.1,"Before placing on the market, the CE marking must be affixed visibly, legibly and indelibly to the following: (a) any item of pressure equipment referred to in regulation 6 or its dataplate; and (b) any assembly referred to in regulation 7 or its dataplate",must
CE marking ,49.3,"Where it is not possible or warranted, on account of the nature of the equipment or assembly, to affix the CE marking in accordance with paragraph (1), the CE marking must be affixed to— (a) the packaging; and (b) the accompanying documents",must
CE marking ,49.4,"At the time the CE marking is affixed, the item or assembly referred to in subparagraph (1)(a) or (b) must be— (a) complete; or (b) in a state permitting final assessment as described in paragraph 25 (Final assessment) of Schedule 2",must
CE marking ,49.5,"Individual items of pressure equipment already bearing the CE marking when incorporated into an assembly must continue to bear that marking, but the CE marking need not be affixed to each additional item of pressure equipment making up an assembly",must
CE marking ,49.6,"The CE marking must be followed by the identification number of the notified body which carried out the relevant conformity assessment procedure for the pressure equipment or assembly, where that body is involved in the production control phase",must
CE marking ,49.7,"The identification number of the notified body must be affixed— (a) by the notified body itself; or (b) under the instructions of the notified body, by the manufacturer or his authorised representative",must
European approval for materials ,50.2,"European approval for materials must be issued, at the request of one or more manufacturers of materials or equipment, by an issuing body",must
European approval for materials ,50.3,"The issuing body must determine and perform, or arrange for the performance of, the appropriate inspections and tests to certify the conformity of the types of material with the corresponding requirements of these Regulations",must
European approval for materials ,50.4,"In the case of materials recognised as being safe to use before 29 November 1999, the issuing body must take account of the existing data when certifying such conformity",must
European approval for materials ,50.5,"Prior to issuing a European approval for materials, the issuing body must inform the other member States and the Commission by sending them the appropriate information",must
European approval for materials ,50.6,"Where, within three months of being informed by the issuing body, a member State or the Commission provides comments with reasons, the issuing body must take those comments into account before issuing the European approval for materials",must
European approval for materials ,50.7,"A copy of the European approval for materials must be sent to the member States, the bodies notified under regulation 55 and the Commission",must
European approval for materials ,50.8,The issuing body must withdraw its approval if it finds that it should not have been issued or that the type of materials is covered by a harmonised standard,must / should
European approval for materials ,50.9,"If an issuing body withdraws approval for materials under paragraph 8, it must immediately inform the other member States and the bodies notified under regulation 55 of that withdrawal",must
Notification ,55.2,"When deciding whether to notify a conformity assessment body to the European Commission and the other member States, the Secretary of State may— (a) have regard to any other matter which appears to the Secretary of State to be relevant; and (b) set conditions that the conformity assessment body must meet",must
Notification ,55.3,"The Secretary of State must inform the European Commission of the United Kingdom’s procedures for the assessment and notification of conformity assessment bodies, and any changes to those procedures",must
No Section Title,57.3,"The third condition is that the conformity assessment body must carry out approvals of only those activities referred to in paragraphs 21 and 22 of Schedule 2 (permanent jointing and non-destructive tests); (5) For the purposes of paragraph (3), the Secretary of State may accept an accreditation certificate, provided in accordance with paragraph (2)(b), as sufficient evidence that the conformity assessment body meets the notified body requirements",must
No Section Title,58.2,"The conformity assessment body must make an application to the Secretary of State for notification as a user inspectorate and that application must be accompanied by— (a) a description of— (i) the conformity assessment activities that the conformity assessment body intends to carry out; (ii) the conformity assessment modules for which the conformity assessment body claims to be competent; and (iii) the pressure equipment or assemblies for which the conformity assessment body claims to be competent; (iv) a list of the establishments satisfying the requirement in paragraph (7); and either— (b) an accreditation certificate; or (c) documentary evidence necessary for the Secretary of State to verify, recognise and regularly monitor the conformity assessment body’s compliance with the user inspectorate requirements",must
No Section Title,58.3,The Secretary of State must be satisfied that the conformity assessment body meets the user inspectorate requirements,must
No Section Title,58.5,"The group of which the user inspectorate is part must apply a common safety policy as regards the technical specifications for the design, manufacture, inspection, maintenance and use of pressure equipment and assemblies",must
No Section Title,58.6,The user inspectorate must act exclusively for the group of which it is part,must
Contents of notification ,59," A notification under regulation 55 must include— (a) details of— (i) the conformity assessment activities in respect of which the conformity assessment body has made its application for notification; (ii) the conformity assessment modules in respect of which the conformity assessment body has made its application for notification;  (iii) the pressure equipment in respect of which the conformity assessment body has made its application for notification; and (iv) where the notification relates to a user inspectorate, a list of the establishments satisfying the requirement in regulation 58(7) in relation to that user inspectorate; and either— (b) an accreditation certificate; or (c) documentary evidence which attests to— (i) the conformity assessment body’s competence; and (ii) the arrangements in place to ensure that the conformity assessment body will be monitored regularly and will continue to meet the notified body requirements or the user inspectorate requirements, as the case may be. Monitoring   ",must
Monitoring  ,60.1,"The Secretary of State must monitor each notified body, recognised third party organisation and user inspectorate with a view to verifying that the notified body, recognised third party organisation or user inspectorate— (a) continues to meet the notified body requirements or user inspectorate requirements, as applicable; (b) meets any conditions set in accordance with regulation 55(2)(b); and (c) carries out its functions in accordance with these Regulations",must
Monitoring  ,60.2,"The Secretary of state must inform the European Commission of the United Kingdom’s procedures for the monitoring of notified bodies, recognised third party organisations and user inspectorates, and any changes to those procedures",must
Changes to notifications ,62.1,"Where the Secretary of State determines that a notified body or recognised third party organisation—  (a) no longer meets a notified body requirement, or   23(b) is failing to fulfil any of its obligations under these Regulations other than conditions set in accordance with regulation 55(2)(b), the Secretary of State must restrict, suspend or withdraw that body’s status as a notified body or recognised third party organisation under regulation 51 or 52, as the case may be",must
Changes to notifications ,62.3,"In deciding what action is required under paragraph (1), the Secretary of State must have regard to the seriousness of the failure",must
Changes to notifications ,62.4,"Before taking action under paragraph (1) or (2), the Secretary of State must— (a) give notice in writing that the Secretary of State intends to take such action and the reasons for taking such action; and (b) give the notified body or recognised third party organisation an opportunity to make representations within a reasonable period from the date of that notice and consider any such representations",must
Changes to notifications ,62.5,"Where the Secretary of State takes action under paragraph (1) or (2), the Secretary of State must immediately inform the Commission and the other member States",must
